date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2001-09-01,0.00,-15.88,4369.70,8358.07,0.00,0.23,237.49,435.09,92.92,0.00,0.00,0.00,473.58,0.00,0.00,0.00,0.00,0.00,5578433.80,7757769.89,0.00,241.44,135029.71,213094.15,58514.55,0.00,0.00,985.08,0.00,0.00,280552.79,109850412.72,221681633.49,0.00,5413.47,7011002.69,11730068.21,2541387.95,0.00,0.00,0.00,13027612.89,0.00,0.00,0.00
2001-10-01,0.00,-57.61,4180.90,8782.59,0.00,2.03,225.88,502.60,106.62,0.00,0.00,0.00,577.50,0.00,0.00,0.00,0.00,0.00,5401166.55,8137208.53,0.00,2133.12,127863.90,244151.26,71589.94,0.00,0.00,976.51,0.00,0.00,1169592.83,119082212.03,293292054.92,0.00,649650.18,7872775.52,16178574.78,5418960.26,0.00,0.00,0.00,21911977.56,0.00,0.00,0.00
2001-11-01,0.00,-16.15,4092.65,8786.33,0.00,19.47,202.36,337.99,107.76,0.00,0.00,0.00,438.87,0.00,0.00,0.00,0.00,0.00,5258555.25,8132000.20,0.00,20445.51,115491.95,178475.69,77505.42,0.00,0.00,986.63,0.00,0.00,302078.06,104621264.61,220578440.95,0.00,533987.13,7073893.34,9391080.96,3038622.23,0.00,0.00,0.00,13248723.04,0.00,0.00,0.00
2001-12-01,0.00,-27.60,3830.01,9107.48,0.00,44.02,262.52,437.37,104.38,0.00,0.00,0.00,477.00,0.00,0.00,0.00,0.00,0.00,4925871.89,8367873.35,0.00,46211.73,148112.46,216656.75,69327.46,0.00,0.00,967.61,0.00,0.00,580651.15,119653759.03,300431652.04,0.00,1542048.31,10402107.74,13136304.65,4457351.31,0.00,0.00,0.00,25776290.04,0.00,0.00,0.00
2002-01-01,0.00,-48.73,4346.86,9213.22,0.00,19.73,224.64,386.12,130.37,0.00,0.00,0.00,453.60,0.00,0.00,0.00,0.00,0.00,5597293.30,8503754.00,0.00,20716.07,128292.45,196193.61,86645.53,0.00,0.00,986.90,0.00,0.00,895360.05,147535397.97,390029110.72,0.00,1036062.79,9568271.09,14884478.07,5580507.31,0.00,0.00,0.00,20013065.02,0.00,0.00,0.00
2002-02-01,0.00,-45.32,4159.60,8399.69,0.00,25.63,190.67,363.37,102.68,0.00,0.00,0.00,484.89,0.00,0.00,0.00,0.00,0.00,5372457.67,7747201.83,0.00,26904.31,109120.11,183627.95,70950.91,0.00,0.00,987.51,0.00,0.00,779422.92,137655423.36,344033163.19,0.00,1425874.99,7413251.71,13676418.23,5139383.28,0.00,0.00,0.00,22020368.83,0.00,0.00,0.00
2002-03-01,0.00,-21.66,4374.81,9269.01,0.00,12.06,201.82,428.21,82.84,0.00,0.00,0.00,348.52,0.00,0.00,0.00,0.00,0.00,5655352.11,8550872.36,0.00,12679.69,115867.64,212084.55,58463.02,0.00,0.00,993.86,0.00,0.00,363877.70,131986817.30,340496686.61,0.00,713580.64,7415131.10,14277064.34,3854531.62,0.00,0.00,0.00,15673049.17,0.00,0.00,0.00
2002-04-01,0.00,-20.09,4205.28,8844.16,0.00,2.58,230.94,402.48,74.87,0.00,0.00,0.00,222.53,0.00,0.00,0.00,0.00,0.00,5339632.90,8166893.44,0.00,2704.23,132976.67,200264.06,51285.36,0.00,0.00,995.06,0.00,0.00,326591.87,118800231.84,525140506.74,0.00,79255.39,7456237.66,14328765.42,6320497.51,0.00,0.00,0.00,15740040.37,0.00,0.00,0.00
2002-05-01,0.00,-14.96,4262.23,9541.68,0.00,6.33,316.15,528.82,118.34,0.00,0.00,0.00,404.29,0.00,0.00,0.00,0.00,0.00,5389230.66,8795372.44,0.00,6706.18,180206.97,255608.79,84166.47,0.00,0.00,970.22,0.00,0.00,356773.00,239250542.14,705582021.37,0.00,1372334.63,31391531.32,34723424.95,23400713.30,0.00,0.00,0.00,85728050.18,0.00,0.00,0.00
2002-06-01,0.00,-23.89,4592.74,9398.30,0.00,0.58,277.93,489.71,150.95,0.00,0.00,0.00,444.91,0.00,0.00,0.00,0.00,0.00,5869647.64,8660399.19,0.00,615.64,157421.66,235722.11,100246.68,0.00,0.00,979.96,0.00,0.00,429140.38,170520792.09,554459414.04,0.00,249099.21,16615049.07,22082293.57,14943541.79,0.00,0.00,0.00,58746634.29,0.00,0.00,0.00
2002-07-01,0.00,-38.78,4810.74,9927.49,0.00,0.63,398.26,466.07,145.49,0.00,0.00,0.00,561.35,0.00,0.00,0.00,0.00,0.00,6188265.01,9173275.57,0.00,695.88,224628.80,230737.27,92534.69,0.00,0.00,977.81,0.00,0.00,855824.00,194560311.31,510894399.78,0.00,481424.03,23807679.52,20185410.10,14337123.37,0.00,0.00,0.00,46310368.27,0.00,0.00,0.00
2002-08-01,0.00,-34.43,4893.38,9499.01,0.00,0.38,308.49,497.07,73.16,0.00,0.00,0.00,426.77,0.00,0.00,0.00,0.00,0.00,6287036.45,8761582.00,0.00,406.72,174775.86,242180.57,40762.26,0.00,0.00,989.97,0.00,0.00,579884.36,131130333.95,297497711.42,0.00,12984.51,10033658.15,14687363.58,2436239.79,0.00,0.00,0.00,15180357.27,0.00,0.00,0.00
2002-09-01,0.00,-50.43,4517.60,8588.77,0.00,0.82,286.75,427.62,77.58,0.00,0.00,0.00,503.97,0.00,0.00,0.00,0.00,0.00,5744374.41,7924801.35,0.00,864.37,162666.74,208094.18,41830.04,0.00,0.00,981.18,0.00,0.00,883535.88,125365629.23,281556512.74,0.00,25533.52,9136225.41,13031325.15,2322111.77,0.00,0.00,0.00,18502482.83,0.00,0.00,0.00
2002-10-01,0.00,-37.28,4503.27,8870.80,0.00,0.47,255.19,512.34,65.79,0.00,0.00,0.00,536.42,0.00,0.00,0.00,0.00,0.00,5750467.85,8170314.98,0.00,461.13,145673.20,243751.58,35855.19,0.00,0.00,975.49,0.00,0.00,646539.53,119250423.79,289348971.52,0.00,10403.24,8433931.99,15039369.38,2486352.94,0.00,0.00,0.00,17939897.39,0.00,0.00,0.00
2002-11-01,0.00,-34.45,4597.34,8829.69,0.00,3.25,219.29,496.80,71.01,0.00,0.00,0.00,375.66,0.00,0.00,0.00,0.00,0.00,5863455.30,8131294.69,0.00,3383.96,125877.80,237657.25,39002.23,0.00,0.00,989.15,0.00,0.00,590644.41,126390314.79,350763516.14,0.00,90338.20,7707658.12,17575256.68,2345562.81,0.00,0.00,0.00,22367116.58,0.00,0.00,0.00
2002-12-01,0.00,-59.78,4625.49,9050.56,0.00,5.82,258.17,481.64,82.45,0.00,0.00,0.00,426.60,0.00,0.00,0.00,0.00,0.00,5942479.19,8332115.58,0.00,6048.83,147614.52,232005.53,47482.59,0.00,0.00,989.02,0.00,0.00,1061279.53,146426951.29,345610170.95,0.00,368989.88,13367967.02,19537846.96,4676056.72,0.00,0.00,0.00,20395123.07,0.00,0.00,0.00
2003-01-01,0.00,-52.37,4751.66,9169.64,0.00,0.63,217.51,497.94,92.68,0.00,0.00,0.00,670.50,0.00,0.00,0.00,0.00,0.00,6078015.33,8434492.67,0.00,604.17,124954.64,238501.88,53758.87,0.00,0.00,972.77,0.00,0.00,814548.42,125938985.26,403801857.54,0.00,103808.38,10330256.28,19956866.32,5118168.96,0.00,0.00,0.00,44453259.98,0.00,0.00,0.00
2003-02-01,0.00,-28.39,4347.43,8575.38,0.00,0.89,137.17,457.14,58.95,0.00,0.00,0.00,602.60,0.00,0.00,0.00,0.00,0.00,5563781.62,7865817.90,0.00,893.30,78983.92,219505.25,31324.81,0.00,0.00,972.38,0.00,0.00,522450.34,81547884.35,214579628.72,0.00,15986.04,3404356.35,11250375.19,1342284.29,0.00,0.00,0.00,15123146.02,0.00,0.00,0.00
